DateTime,Year,DoY,Hour,FCH4,NEE,LE,H,Ustar,Rg,Tair,Tsoil5cm,Tsoil10cm,Tsoil50cm,rH,VPD,Pa,WTH,LWOUT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Day,c,s
2017-06-01 16:30,2017,152,16.5,NA,-3.490851,68.80378,54.89889,0.1768979,276.27,17.72,17.46,16.96,14.23,72.17,5.639189,1012.75,38.62683,423.74,2.267098,0.178883,-0.3578294,-0.6556949,-0.7689834,-1.462877,0.1984172,-0.1083011,0.08971212,0.03108513,0.2685341,-0.06290194,0.1848584,-0.00094571,152.6875,-0.8625983,0.5058894
2017-06-01 17:00,2017,152,17,0.049689,-1.746167,42.06582,20.05402,0.123073,143.87,17.63,17.6,17.05,14.32,71.02,5.838989,1012.9,38.64883,414.81,1.536461,-0.5211054,-0.4827283,0.1623436,-0.903994,-1.518543,0.2599751,-0.1403618,0.1496395,-0.01922101,0.2891605,-0.09991207,0.1770429,0.008679893,152.7083,-0.8627797,0.50558
2017-06-01 17:30,2017,152,17.5,0.071983,-3.110536,68.20212,48.00733,0.159819,213.58,17.59,17.64,17.07,14.29,72.98,5.430363,1012.9,38.69133,415.95,2.015626,-0.03797111,-0.3414242,-0.5179925,-0.8117095,-1.482083,0.238756,-0.1383254,-0.01949735,0.07510101,0.2408022,-0.1833316,0.09693223,-0.001833008,152.7292,-0.862961,0.5052706
2017-06-01 18:00,2017,152,18,0.06911,-1.799002,43.87935,36.22454,0.1842956,172.99,17.58,17.67,17.06,14.27,76.58,4.703882,1012.9,38.69531,414.23,1.586166,-0.3859204,-0.5646084,-0.2975461,-0.3090001,-1.439003,0.3673654,-0.06781345,0.1682782,-0.04845228,0.2344917,-0.1412721,0.1219843,-0.004303356,152.75,-0.8631421,0.5049611
2017-06-01 18:30,2017,152,18.5,0.05055,-0.6715107,21.41484,12.72768,0.1804071,74.87,16.79,17.73,17.12,14.3,78.19,4.1669,1013.15,38.56503,406.16,0.9768895,-0.8448217,-0.6854968,0.05334114,-0.07646147,-1.494942,0.3477235,-0.09623361,0.197275,-0.09559277,0.2213556,-0.1675424,0.148828,0.003296388,152.7708,-0.8633232,0.5046515
2017-06-01 19:00,2017,152,19,0.0975,-0.32556,15.96004,2.133792,0.1512807,42.99,16.38,17.83,17.18,14.35,80.55,3.620397,1013.4,38.56266,400.97,0.6526267,-1.1127,-0.6048827,0.1132581,-0.1789909,-1.484524,0.4617523,-0.09170428,0.1635465,-0.06643709,0.2330572,-0.1431755,0.124701,-0.003245385,152.7917,-0.8635041,0.5043418
2017-06-01 19:30,2017,152,19.5,NA,1.331419,14.41427,-8.655423,0.1575262,8.15,15.96,17.84,17.22,14.35,75.68,4.40723,1013.5,38.61823,395.63,0.5003444,-1.217952,-0.8236988,0.8657423,0.05352073,-1.375453,0.5634779,-0.2807694,0.0894412,-0.07314014,0.2151033,-0.159722,0.1112447,0.00845713,152.8125,-0.8636849,0.5040321
2017-06-01 20:00,2017,152,20,NA,1.651782,9.75507,-13.18318,0.1381639,3.05,14.81,17.75,17.17,14.41,77.73,3.748613,1013.6,38.58723,386.85,0.1789884,-1.361708,-0.7406388,0.8532847,0.02657607,-1.286278,0.6805868,-0.3964841,0.04471596,-0.08587726,0.2245578,-0.1014945,0.06956559,0.002388769,152.8333,-0.8638656,0.5037223
2017-06-01 20:30,2017,152,20.5,NA,0.8671788,4.8955,-5.270963,0.0448,1.63,14.01,17.75,17.09,14.41,82.63,2.776405,1013.55,38.50995,385.62,-0.1117263,-1.606592,-0.33119,0.4562942,-0.7268516,-1.20906,0.9245922,-0.3765168,0.1331937,-0.1191597,0.2290077,-0.138133,0.1024336,-0.01278804,152.8542,-0.8640462,0.5034125
2017-06-01 21:00,2017,152,21,NA,1.10701,5.085282,-5.503148,0.0351,0.94,14.3,17.72,17.09,14.36,83.16,2.742748,1013.5,38.16166,385.68,-0.1513411,-1.662489,-0.3371431,0.5225533,-0.7637422,-1.165027,1.019746,-0.3427255,0.1498651,-0.1101481,0.2290488,-0.1398178,0.07760248,-0.007089645,152.875,-0.8642267,0.5031026
